q,"q 引用 （インライン要素）
【子要素】インライン要素
【属性】
cite=""ソースURI""
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
s,"s 取消線＜非推奨＞ （インライン要素）",,element,reserved-word
samp,"samp プログラム・スクリプトの出力 （インライン要素）
【子要素】インライン要素
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
script,"script JavaScript等のスクリプト （インライン要素）
【属性】
type = ""MIME type"" 必須 （例：""text/javascript""）
src = ""スクリプトURI""
language＜非推奨＞
defer （boolean属性）（document.write()等によりドキュメント内容が生成されないことを示す）
charset=""(リンク先charset)""
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
select,"select フォーム内メニュー （インライン要素）
【子要素】optgroup, option
【属性】
name = ""コントロール名""
size = ""メニュー表示行数""
multiple （boolean属性）（複数選択可を示す）
disabled （boolean属性）
tabindex
onfocus, onblur, onchange
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
small,"small スモールフォントで表示 （インライン要素）
【子要素】インライン要素
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
span,"span インライン要素コンテナ （インライン要素）
【子要素】インライン要素
【属性】
align＜非推奨＞
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
strike,"strike 取消線＜非推奨＞ （インライン要素）",,element,reserved-word
strong,"strong より強い強調 ※em < strong （インライン要素）
【子要素】インライン要素
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
style,"style スタイルシート （<head>〜</head>内要素）
【属性】
type = ""(MIME type)"" 必須 （CSSならtype=""text/css""）
media = ""(media-descriptors)""
lang, dir, title
【開始タグ】必須　【終了タグ】必須
【例】
<style type=""text/css"">
  h1 {border-width: 1; border: solid; text-align: center}
</style>
",,element,reserved-word
sub,"sub 下付き文字 （インライン要素）
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
sup,"sup 上付き文字 （インライン要素）
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
table,"table テーブル （ブロック要素）
【子要素】下記の順
caption（0〜1個）
col（0個以上）または colgroup（0個以上）
thead（0〜1個）
tfoot（0〜1個）
tbody（1個以上。タグ省略可能）
【属性】
cellspacing = ""(セル間スペース幅（ピクセル、％）)""
cellpadding = ""(セル枠線と内容との間のスペース幅（ピクセル、％）)""
frame = ""void""|""above""|""below""|""hsides""|""lhs""|""rhs""|""vsides""|""box""|""border""
rules = ""none""|""groups""|""rows""|""cols""|""all""
border = ""(枠線幅ピクセル)""
width = ""幅""
align＜非推奨＞
bgcolor＜非推奨＞
summary = ""(概要)""（音声出力等用）
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
tbody,"tbody テーブル本体 （<table>〜</table>内要素）
【子要素】tr
【属性】
align = ""left""|""center""|""right""|""justify""|""char""
char = ""(桁揃え文字)""
charoff = ""(桁揃え位置（％）)""
valign = ""top""|""middle""|""bottom""|""baseline""
id, class, style, title, lang, dir, 各イベント
【開始タグ】オプショナル　【終了タグ】オプショナル
",,element,reserved-word
td,"td テーブルセル （<tr>〜</tr>内要素）
【子要素】ブロック要素、インライン要素
【属性】
align = ""left""|""center""|""right""|""justify""|""char""
char = ""(桁揃え文字)""
charoff = ""(桁揃え位置（％）)""
valign = ""top""|""middle""|""bottom""|""baseline""
rowspan = ""(結合セル数"" （右方向への結合セル数。""0""は全て）)""
colspan = ""(結合セル数"" （下方向への結合セル数。""0""は全て）)""
headers = ""ヘッダセルのid""
scope = ""scope-name"" (row, col, rowgroup, colgroup)
abbr = ""省略形（音声出力等用）""
axis = ""カテゴリ（音声出力等用）""
nowrap＜非推奨＞
width＜非推奨＞
height＜非推奨＞
bgcolor＜非推奨＞
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】オプショナル
",,element,reserved-word
textarea,"textarea フォーム内複数行テキスト入力フィールド （インライン要素）
rows = ""(表示行数)"" 必須
cols = ""(表示列数)"" 必須
name = ""(コントロール名)""
readonly （boolean属性）
disabled （boolean属性）
tabindex, accesskey
onfocus, onblur, onselect, onchange
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
tfoot,"tfoot テーブルフッタ （<table>〜</table>内要素）
【子要素】tr
【属性】
align = ""left""|""center""|""right""|""justify""|""char""
char = ""(桁揃え文字)""
charoff = ""(桁揃え位置（％）)""
valign = ""top""|""middle""|""bottom""|""baseline""
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】オプショナル
",,element,reserved-word
th,"th ヘッダ用テーブルセル （<tr>〜</tr>内要素）
【子要素】ブロック要素、インライン要素
【属性】
align = ""left""|""center""|""right""|""justify""|""char""
char = ""(桁揃え文字)""
charoff = ""(桁揃え位置（％）)""
valign = ""top""|""middle""|""bottom""|""baseline""
rowspan = ""(結合セル数"" （右方向への結合セル数。""0""は全て）)""
colspan = ""(結合セル数"" （下方向への結合セル数。""0""は全て）)""
headers = ""ヘッダセルのid""
scope = ""scope-name"" (row, col, rowgroup, colgroup)
abbr = ""省略形（音声出力等用）""
axis = ""カテゴリ（音声出力等用）""
nowrap＜非推奨＞
width＜非推奨＞
height＜非推奨＞
bgcolor＜非推奨＞
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】オプショナル
",,element,reserved-word
thead,"thead テーブルヘッダ （<table>〜</table>内要素）
【子要素】tr
【属性】
align = ""left""|""center""|""right""|""justify""|""char""
char = ""(桁揃え文字)""
charoff = ""(桁揃え位置（％）)""
valign = ""top""|""middle""|""bottom""|""baseline""
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】オプショナル
",,element,reserved-word
title,"title ドキュメントタイトル （<head>〜</head>内要素）
【属性】lang, dir
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
tr,"tr テーブル行（<thead>〜</thead>、<tfoot>〜</tfoot>、<tbody>〜</tbody>内要素）
【子要素】th, td
【属性】
align = ""left""|""center""|""right""|""justify""|""char""
char = ""(桁揃え文字)""
charoff = ""(桁揃え位置（％）)""
valign = ""top""|""middle""|""bottom""|""baseline""
bgcolor＜非推奨＞
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】オプショナル
",,element,reserved-word
tt,"tt 等幅 （インライン要素）
【子要素】インライン要素
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
u,"u アンダーライン＜非推奨＞ （インライン要素）",,element,reserved-word
ul,"ul 順序なしリスト（Unordered List） （ブロック要素）
【子要素】li
【属性】
type＜非推奨＞
start＜非推奨＞
value＜非推奨＞
compact＜非推奨＞
id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word
var,"var プログラムの変数 （インライン要素）
【子要素】インライン要素
【属性】id, class, style, title, lang, dir, 各イベント
【開始タグ】必須　【終了タグ】必須
",,element,reserved-word,"ul>
<li><<<CARET SELECTED>>></li>
<li></li>
</ul>
"
,＝＝＝＝＝＝＝＝＝＝
top,,,"valign",other2
middle,,,"valign",other2
bottom,,,"valign",other2
baseline,,,"valign",other2
left,"align",,"align",other2
center,"align",,"align",other2
right,"align",,"align",other2
justify,"align",,"align",other2
char,"align",,"align",other2
,＝＝＝＝＝＝＝＝＝＝Link types＝＝＝＝＝＝＝＝＝＝
alternate,"link-types",,"link-types",other2
stylesheet,"link-types",,"link-types",other2
start,"link-types",,"link-types",other2
next,"link-types",,"link-types",other2
prev,"link-types",,"link-types",other2
contents,"link-types",,"link-types",other2
index,"link-types",,"link-types",other2
glossary,"link-types",,"link-types",other2
copyright,"link-types",,"link-types",other2
chapter,"link-types",,"link-types",other2
section,"link-types",,"link-types",other2
subsection,"link-types",,"link-types",other2
appendix,"link-types",,"link-types",other2
help,"link-types",,"link-types",other2
bookmark,"link-types",,"link-types",other2
,＝＝＝＝＝＝＝＝＝＝Frame target names＝＝＝＝＝＝＝＝＝＝
_blank,"frame-target",,"frame-target",other2
_self,"frame-target",,"frame-target",other2
_parent,"frame-target",,"frame-target",other2
_top,"frame-target",,"frame-target",other2
,＝＝＝＝＝＝＝＝＝＝Attributes＝＝＝＝＝＝＝＝＝＝
abbr,,,,property
accept-charset,,,,property
accept,,,,property
accesskey,,,,property
action,,,,property
align,,,,property,"align=""<<<CARET HINT(""align"")>>>"""
alink,,,,property
alt,,,,property
archive,,,,property
axis,,,,property
background,,,,property
bgcolor,,,,property
border,,,,property
cellpadding,,,,property
cellspacing,,,,property
char,,,,property
charoff,,,,property
charset,,,,property
checked,,,,property
cite,,,,property
class,,,,property
classid,,,,property
clear,,,,property
code,,,,property
codebase,,,,property
codetype,,,,property
color,,,,property
cols,,,,property
colspan,,,,property
compact,,,,property
content,,,,property
coords,,,,property
coords,,,,property
data,,,,property
datetime,,,,property
declare,,,,property
defer,,,,property
dir,,,,property
dir,,,,property
disabled,,,,property
enctype,,,,property
face,,,,property
for,,,,property
frame,,,,property
frameborder,,,,property
headers,,,,property
height,,,,property
href,,,,property
hreflang,,,,property
hspace,,,,property
http-equiv,,,,property
id,,,,property
ismap,,,,property
label,,,,property
lang,,,,property
language,,,,property
link,,,,property
longdesc,,,,property
longdesc,,,,property
marginheight,,,,property
marginwidth,,,,property
maxlength,,,,property
media,,,,property
media,,,,property
method,,,,property
multiple,,,,property
name,,,,property
nohref,,,,property
noresize,,,,property
noshade,,,,property
nowrap,,,,property
object,,,,property
onblur,,,,property
onchange,,,,property
onclick,,,,property
ondblclick,,,,property
onfocus,,,,property
onkeydown,,,,property
onkeypress,,,,property
onkeyup,,,,property
onload,,,,property
onload,,,,property
onmousedown,,,,property
